Taken from weather file ./USA_NY_New.York-Central.Park.725033_TMY3.epw
month 	 day 	 hour 	 directNormalIrradiance (w/m^2) 
1	1	1	0
1	1	2	0
1	1	3	0
1	1	4	0
1	1	5	0
1	1	6	0
1	1	7	0
1	1	8	0
1	1	9	100
1	1	10	478
1	1	11	713
1	1	12	644
1	1	13	818
1	1	14	790
1	1	15	776
1	1	16	597
1	1	17	165
1	1	18	0
1	1	19	0
1	1	20	0
1	1	21	0
1	1	22	0
1	1	23	0
1	1	24	0
1	2	1	0
1	2	2	0
1	2	3	0
1	2	4	0
1	2	5	0
1	2	6	0
1	2	7	0
1	2	8	150
1	2	9	581
1	2	10	762
1	2	11	842
1	2	12	871
1	2	13	871
1	2	14	738
1	2	15	731
1	2	16	178
1	2	17	42
1	2	18	0
1	2	19	0
1	2	20	0
1	2	21	0
1	2	22	0
1	2	23	0
1	2	24	0
1	3	1	0
1	3	2	0
1	3	3	0
1	3	4	0
1	3	5	0
1	3	6	0
1	3	7	0
1	3	8	0
1	3	9	1
1	3	10	4
1	3	11	4
1	3	12	1
1	3	13	2
1	3	14	4
1	3	15	1
1	3	16	1
1	3	17	0
1	3	18	0
1	3	19	0
1	3	20	0
1	3	21	0
1	3	22	0
1	3	23	0
1	3	24	0
1	4	1	0
1	4	2	0
1	4	3	0
1	4	4	0
1	4	5	0
1	4	6	0
1	4	7	0
1	4	8	15
1	4	9	255
1	4	10	516
1	4	11	459
1	4	12	496
1	4	13	443
1	4	14	150
1	4	15	338
1	4	16	104
1	4	17	13
1	4	18	0
1	4	19	0
1	4	20	0
1	4	21	0
1	4	22	0
1	4	23	0
1	4	24	0
1	5	1	0
1	5	2	0
1	5	3	0
1	5	4	0
1	5	5	0
1	5	6	0
1	5	7	0
1	5	8	19
1	5	9	273
1	5	10	458
1	5	11	554
1	5	12	672
1	5	13	667
1	5	14	626
1	5	15	519
1	5	16	308
1	5	17	26
1	5	18	0
1	5	19	0
1	5	20	0
1	5	21	0
1	5	22	0
1	5	23	0
1	5	24	0
1	6	1	0
1	6	2	0
1	6	3	0
1	6	4	0
1	6	5	0
1	6	6	0
1	6	7	0
1	6	8	198
1	6	9	640
1	6	10	796
1	6	11	821
1	6	12	581
1	6	13	340
1	6	14	783
1	6	15	786
1	6	16	377
1	6	17	41
1	6	18	0
1	6	19	0
1	6	20	0
1	6	21	0
1	6	22	0
1	6	23	0
1	6	24	0
1	7	1	0
1	7	2	0
1	7	3	0
1	7	4	0
1	7	5	0
1	7	6	0
1	7	7	0
1	7	8	6
1	7	9	145
1	7	10	36
1	7	11	5
1	7	12	2
1	7	13	13
1	7	14	10
1	7	15	1
1	7	16	5
1	7	17	0
1	7	18	0
1	7	19	0
1	7	20	0
1	7	21	0
1	7	22	0
1	7	23	0
1	7	24	0
1	8	1	0
1	8	2	0
1	8	3	0
1	8	4	0
1	8	5	0
1	8	6	0
1	8	7	0
1	8	8	0
1	8	9	0
1	8	10	1
1	8	11	1
1	8	12	0
1	8	13	0
1	8	14	1
1	8	15	1
1	8	16	166
1	8	17	5
1	8	18	0
1	8	19	0
1	8	20	0
1	8	21	0
1	8	22	0
1	8	23	0
1	8	24	0
1	9	1	0
1	9	2	0
1	9	3	0
1	9	4	0
1	9	5	0
1	9	6	0
1	9	7	0
1	9	8	83
1	9	9	481
1	9	10	691
1	9	11	776
1	9	12	815
1	9	13	655
1	9	14	488
1	9	15	215
1	9	16	233
1	9	17	37
1	9	18	0
1	9	19	0
1	9	20	0
1	9	21	0
1	9	22	0
1	9	23	0
1	9	24	0
1	10	1	0
1	10	2	0
1	10	3	0
1	10	4	0
1	10	5	0
1	10	6	0
1	10	7	0
1	10	8	193
1	10	9	631
1	10	10	799
1	10	11	880
1	10	12	913
1	10	13	854
1	10	14	813
1	10	15	795
1	10	16	573
1	10	17	201
1	10	18	0
1	10	19	0
1	10	20	0
1	10	21	0
1	10	22	0
1	10	23	0
1	10	24	0
1	11	1	0
1	11	2	0
1	11	3	0
1	11	4	0
1	11	5	0
1	11	6	0
1	11	7	0
1	11	8	8
1	11	9	4
1	11	10	6
1	11	11	9
1	11	12	2
1	11	13	1
1	11	14	2
1	11	15	1
1	11	16	1
1	11	17	0
1	11	18	0
1	11	19	0
1	11	20	0
1	11	21	0
1	11	22	0
1	11	23	0
1	11	24	0
1	12	1	0
1	12	2	0
1	12	3	0
1	12	4	0
1	12	5	0
1	12	6	0
1	12	7	0
1	12	8	0
1	12	9	106
1	12	10	478
1	12	11	753
1	12	12	750
1	12	13	134
1	12	14	4
1	12	15	38
1	12	16	43
1	12	17	34
1	12	18	0
1	12	19	0
1	12	20	0
1	12	21	0
1	12	22	0
1	12	23	0
1	12	24	0
1	13	1	0
1	13	2	0
1	13	3	0
1	13	4	0
1	13	5	0
1	13	6	0
1	13	7	0
1	13	8	15
1	13	9	137
1	13	10	390
1	13	11	233
1	13	12	309
1	13	13	256
1	13	14	52
1	13	15	261
1	13	16	269
1	13	17	4
1	13	18	0
1	13	19	0
1	13	20	0
1	13	21	0
1	13	22	0
1	13	23	0
1	13	24	0
1	14	1	0
1	14	2	0
1	14	3	0
1	14	4	0
1	14	5	0
1	14	6	0
1	14	7	0
1	14	8	98
1	14	9	75
1	14	10	185
1	14	11	764
1	14	12	788
1	14	13	762
1	14	14	652
1	14	15	731
1	14	16	451
1	14	17	153
1	14	18	0
1	14	19	0
1	14	20	0
1	14	21	0
1	14	22	0
1	14	23	0
1	14	24	0
1	15	1	0
1	15	2	0
1	15	3	0
1	15	4	0
1	15	5	0
1	15	6	0
1	15	7	0
1	15	8	86
1	15	9	71
1	15	10	73
1	15	11	495
1	15	12	53
1	15	13	258
1	15	14	401
1	15	15	557
1	15	16	450
1	15	17	105
1	15	18	0
1	15	19	0
1	15	20	0
1	15	21	0
1	15	22	0
1	15	23	0
1	15	24	0
1	16	1	0
1	16	2	0
1	16	3	0
1	16	4	0
1	16	5	0
1	16	6	0
1	16	7	0
1	16	8	5
1	16	9	85
1	16	10	327
1	16	11	75
1	16	12	10
1	16	13	3
1	16	14	2
1	16	15	4
1	16	16	0
1	16	17	0
1	16	18	0
1	16	19	0
1	16	20	0
1	16	21	0
1	16	22	0
1	16	23	0
1	16	24	0
1	17	1	0
1	17	2	0
1	17	3	0
1	17	4	0
1	17	5	0
1	17	6	0
1	17	7	0
1	17	8	14
1	17	9	142
1	17	10	218
1	17	11	634
1	17	12	691
1	17	13	704
1	17	14	517
1	17	15	51
1	17	16	32
1	17	17	1
1	17	18	0
1	17	19	0
1	17	20	0
1	17	21	0
1	17	22	0
1	17	23	0
1	17	24	0
1	18	1	0
1	18	2	0
1	18	3	0
1	18	4	0
1	18	5	0
1	18	6	0
1	18	7	0
1	18	8	183
1	18	9	611
1	18	10	783
1	18	11	872
1	18	12	902
1	18	13	907
1	18	14	881
1	18	15	823
1	18	16	664
1	18	17	284
1	18	18	0
1	18	19	0
1	18	20	0
1	18	21	0
1	18	22	0
1	18	23	0
1	18	24	0
1	19	1	0
1	19	2	0
1	19	3	0
1	19	4	0
1	19	5	0
1	19	6	0
1	19	7	0
1	19	8	155
1	19	9	581
1	19	10	766
1	19	11	848
1	19	12	882
1	19	13	884
1	19	14	834
1	19	15	764
1	19	16	593
1	19	17	224
1	19	18	0
1	19	19	0
1	19	20	0
1	19	21	0
1	19	22	0
1	19	23	0
1	19	24	0
1	20	1	0
1	20	2	0
1	20	3	0
1	20	4	0
1	20	5	0
1	20	6	0
1	20	7	0
1	20	8	1
1	20	9	8
1	20	10	1
1	20	11	4
1	20	12	9
1	20	13	1
1	20	14	4
1	20	15	1
1	20	16	2
1	20	17	0
1	20	18	0
1	20	19	0
1	20	20	0
1	20	21	0
1	20	22	0
1	20	23	0
1	20	24	0
1	21	1	0
1	21	2	0
1	21	3	0
1	21	4	0
1	21	5	0
1	21	6	0
1	21	7	0
1	21	8	0
1	21	9	1
1	21	10	0
1	21	11	1
1	21	12	2
1	21	13	2
1	21	14	1
1	21	15	1
1	21	16	0
1	21	17	0
1	21	18	0
1	21	19	0
1	21	20	0
1	21	21	0
1	21	22	0
1	21	23	0
1	21	24	0
1	22	1	0
1	22	2	0
1	22	3	0
1	22	4	0
1	22	5	0
1	22	6	0
1	22	7	0
1	22	8	42
1	22	9	361
1	22	10	546
1	22	11	423
1	22	12	489
1	22	13	510
1	22	14	537
1	22	15	512
1	22	16	220
1	22	17	86
1	22	18	0
1	22	19	0
1	22	20	0
1	22	21	0
1	22	22	0
1	22	23	0
1	22	24	0
1	23	1	0
1	23	2	0
1	23	3	0
1	23	4	0
1	23	5	0
1	23	6	0
1	23	7	0
1	23	8	66
1	23	9	302
1	23	10	274
1	23	11	323
1	23	12	190
1	23	13	288
1	23	14	133
1	23	15	526
1	23	16	439
1	23	17	51
1	23	18	0
1	23	19	0
1	23	20	0
1	23	21	0
1	23	22	0
1	23	23	0
1	23	24	0
1	24	1	0
1	24	2	0
1	24	3	0
1	24	4	0
1	24	5	0
1	24	6	0
1	24	7	0
1	24	8	1
1	24	9	2
1	24	10	5
1	24	11	1
1	24	12	0
1	24	13	4
1	24	14	3
1	24	15	2
1	24	16	0
1	24	17	0
1	24	18	0
1	24	19	0
1	24	20	0
1	24	21	0
1	24	22	0
1	24	23	0
1	24	24	0
1	25	1	0
1	25	2	0
1	25	3	0
1	25	4	0
1	25	5	0
1	25	6	0
1	25	7	0
1	25	8	109
1	25	9	391
1	25	10	269
1	25	11	276
1	25	12	123
1	25	13	446
1	25	14	469
1	25	15	147
1	25	16	71
1	25	17	20
1	25	18	0
1	25	19	0
1	25	20	0
1	25	21	0
1	25	22	0
1	25	23	0
1	25	24	0
1	26	1	0
1	26	2	0
1	26	3	0
1	26	4	0
1	26	5	0
1	26	6	0
1	26	7	0
1	26	8	1
1	26	9	5
1	26	10	2
1	26	11	3
1	26	12	3
1	26	13	2
1	26	14	250
1	26	15	183
1	26	16	32
1	26	17	56
1	26	18	0
1	26	19	0
1	26	20	0
1	26	21	0
1	26	22	0
1	26	23	0
1	26	24	0
1	27	1	0
1	27	2	0
1	27	3	0
1	27	4	0
1	27	5	0
1	27	6	0
1	27	7	0
1	27	8	0
1	27	9	13
1	27	10	1
1	27	11	4
1	27	12	7
1	27	13	3
1	27	14	3
1	27	15	3
1	27	16	1
1	27	17	0
1	27	18	0
1	27	19	0
1	27	20	0
1	27	21	0
1	27	22	0
1	27	23	0
1	27	24	0
1	28	1	0
1	28	2	0
1	28	3	0
1	28	4	0
1	28	5	0
1	28	6	0
1	28	7	0
1	28	8	0
1	28	9	1
1	28	10	1
1	28	11	47
1	28	12	439
1	28	13	517
1	28	14	7
1	28	15	216
1	28	16	421
1	28	17	278
1	28	18	2
1	28	19	0
1	28	20	0
1	28	21	0
1	28	22	0
1	28	23	0
1	28	24	0
1	29	1	0
1	29	2	0
1	29	3	0
1	29	4	0
1	29	5	0
1	29	6	0
1	29	7	0
1	29	8	3
1	29	9	34
1	29	10	5
1	29	11	10
1	29	12	2
1	29	13	3
1	29	14	1
1	29	15	2
1	29	16	3
1	29	17	0
1	29	18	0
1	29	19	0
1	29	20	0
1	29	21	0
1	29	22	0
1	29	23	0
1	29	24	0
1	30	1	0
1	30	2	0
1	30	3	0
1	30	4	0
1	30	5	0
1	30	6	0
1	30	7	0
1	30	8	7
1	30	9	102
1	30	10	32
1	30	11	36
1	30	12	65
1	30	13	4
1	30	14	4
1	30	15	129
1	30	16	21
1	30	17	1
1	30	18	0
1	30	19	0
1	30	20	0
1	30	21	0
1	30	22	0
1	30	23	0
1	30	24	0
1	31	1	0
1	31	2	0
1	31	3	0
1	31	4	0
1	31	5	0
1	31	6	0
1	31	7	0
1	31	8	266
1	31	9	668
1	31	10	812
1	31	11	787
1	31	12	273
1	31	13	328
1	31	14	451
1	31	15	93
1	31	16	26
1	31	17	1
1	31	18	0
1	31	19	0
1	31	20	0
1	31	21	0
1	31	22	0
1	31	23	0
1	31	24	0
2	1	1	0
2	1	2	0
2	1	3	0
2	1	4	0
2	1	5	0
2	1	6	0
2	1	7	0
2	1	8	26
2	1	9	82
2	1	10	6
2	1	11	272
2	1	12	155
2	1	13	231
2	1	14	23
2	1	15	278
2	1	16	181
2	1	17	58
2	1	18	5
2	1	19	0
2	1	20	0
2	1	21	0
2	1	22	0
2	1	23	0
2	1	24	0
2	2	1	0
2	2	2	0
2	2	3	0
2	2	4	0
2	2	5	0
2	2	6	0
2	2	7	0
2	2	8	1
2	2	9	1
2	2	10	10
2	2	11	4
2	2	12	5
2	2	13	6
2	2	14	1
2	2	15	1
2	2	16	1
2	2	17	0
2	2	18	0
2	2	19	0
2	2	20	0
2	2	21	0
2	2	22	0
2	2	23	0
2	2	24	0
2	3	1	0
2	3	2	0
2	3	3	0
2	3	4	0
2	3	5	0
2	3	6	0
2	3	7	0
2	3	8	0
2	3	9	96
2	3	10	406
2	3	11	633
2	3	12	469
2	3	13	608
2	3	14	210
2	3	15	61
2	3	16	66
2	3	17	2
2	3	18	0
2	3	19	0
2	3	20	0
2	3	21	0
2	3	22	0
2	3	23	0
2	3	24	0
2	4	1	0
2	4	2	0
2	4	3	0
2	4	4	0
2	4	5	0
2	4	6	0
2	4	7	0
2	4	8	1
2	4	9	3
2	4	10	2
2	4	11	7
2	4	12	5
2	4	13	2
2	4	14	3
2	4	15	1
2	4	16	93
2	4	17	80
2	4	18	0
2	4	19	0
2	4	20	0
2	4	21	0
2	4	22	0
2	4	23	0
2	4	24	0
2	5	1	0
2	5	2	0
2	5	3	0
2	5	4	0
2	5	5	0
2	5	6	0
2	5	7	0
2	5	8	178
2	5	9	539
2	5	10	721
2	5	11	807
2	5	12	578
2	5	13	704
2	5	14	653
2	5	15	149
2	5	16	260
2	5	17	300
2	5	18	5
2	5	19	0
2	5	20	0
2	5	21	0
2	5	22	0
2	5	23	0
2	5	24	0
2	6	1	0
2	6	2	0
2	6	3	0
2	6	4	0
2	6	5	0
2	6	6	0
2	6	7	0
2	6	8	163
2	6	9	534
2	6	10	704
2	6	11	793
2	6	12	830
2	6	13	836
2	6	14	809
2	6	15	743
2	6	16	609
2	6	17	307
2	6	18	6
2	6	19	0
2	6	20	0
2	6	21	0
2	6	22	0
2	6	23	0
2	6	24	0
2	7	1	0
2	7	2	0
2	7	3	0
2	7	4	0
2	7	5	0
2	7	6	0
2	7	7	0
2	7	8	156
2	7	9	533
2	7	10	699
2	7	11	790
2	7	12	694
2	7	13	739
2	7	14	667
2	7	15	375
2	7	16	145
2	7	17	180
2	7	18	2
2	7	19	0
2	7	20	0
